holiday_code,holiday_name
Veterans_Day,Veterans Day
Memorial_Day,Memorial Day
Easter,Easter
Columbus_Day,Columbus Day
hldy_id,hldy_label
Labor_Day,Labor Day
Martin_Luther_King_Day,Martin Luther King Day
Rosh_Hashanah,Rosh Hashanah
Mothers_Day,Mother's Day
Halloween,Halloween
Fathers_Day,Father's Day
Christmas,Christmas
Presidents_Day,Presidents Day
Thanksgiving,Thanksgiving
St_Patricks_Day,St. Patrick's Day
Yom_Kippur,Yom Kippur
Valentines_Day,Valentine's Day
Independence_Day,Independence Day
Election_Day,Election Day
New_Years_Day,New Year's Day
